,LocationID,zone,lon,lat
201,202,Roosevelt Island,-73.9504104879777,40.761167913908125
202,203,Rosedale,-73.73671880894393,40.65950177704543
203,204,Rossville/Woodrow,-74.20697295086076,40.540742689005484
204,205,Saint Albans,-73.76261565643125,40.69221897186052
205,206,Saint George/New Brighton,-74.12316375647318,40.635959397914206
206,207,Saint Michaels Cemetery/Woodside,-73.8993250159724,40.76351135493737
207,208,Schuylerville/Edgewater Park,-73.82488634213514,40.82468613841346
208,209,Seaport,-74.0023597244511,40.708489691401454
209,210,Sheepshead Bay,-73.94433604544147,40.59376160849987
210,211,SoHo,-74.00137472995894,40.72389907146952
211,212,Soundview/Bruckner,-73.86990193430303,40.82827698563397
212,213,Soundview/Castle Hill,-73.86079103704854,40.81649076255544
213,214,South Beach/Dongan Hills,-74.0858854521268,40.58661906553009
214,215,South Jamaica,-73.79036753786858,40.69419030135386
215,216,South Ozone Park,-73.82051327052824,40.677071232561815
216,217,South Williamsburg,-73.95684576885631,40.70324961023512
217,218,Springfield Gardens North,-73.77211628034719,40.67362002793792
218,219,Springfield Gardens South,-73.76100796042165,40.66022849561361
219,220,Spuyten Duyvil/Kingsbridge,-73.91187726317209,40.88190093858093
220,221,Stapleton,-74.0813347613692,40.62022397758678
221,222,Starrett City,-73.88213751690957,40.64687190971396
222,223,Steinway,-73.9066718300492,40.77819332819886
223,224,Stuy Town/Peter Cooper Village,-73.9778420751296,40.731728159155466
224,225,Stuyvesant Heights,-73.93144485223605,40.688785067199376
225,226,Sunnyside,-73.92932128275629,40.73527341028221
226,227,Sunset Park East,-74.00679455179093,40.641597637018855
227,228,Sunset Park West,-74.00996047157157,40.65361820689974
228,229,Sutton Place/Turtle Bay North,-73.96517419892116,40.7565892984895
229,230,Times Sq/Theatre District,-73.98417616082217,40.75984474002954
230,231,TriBeCa/Civic Center,-74.00671162438947,40.71869564100592
231,232,Two Bridges/Seward Park,-73.98230670494594,40.71538608410814
232,233,UN/Turtle Bay South,-73.97125597713074,40.74917209822248
233,234,Union Sq,-73.99047761896912,40.740313464588
234,235,University Heights/Morris Heights,-73.9149683294755,40.85350293012137
235,236,Upper East Side North,-73.95697238530639,40.78049147573493
236,237,Upper East Side South,-73.96569149194593,40.768541884664835
237,238,Upper West Side North,-73.97281451745027,40.791766246782664
238,239,Upper West Side South,-73.97827334184863,40.78410736455398
239,240,Van Cortlandt Park,-73.87906719456856,40.89474641912296
240,241,Van Cortlandt Village,-73.89645014373953,40.8759758476573
241,242,Van Nest/Morris Park,-73.83987896147441,40.849596584398
242,243,Washington Heights North,-73.93282431823545,40.85867028663156
243,244,Washington Heights South,-73.94166681405747,40.84121866986583
244,245,West Brighton,-74.10317060675216,40.62847847510301
245,246,West Chelsea/Hudson Yards,-74.00451257207624,40.75243725196301
246,247,West Concourse,-73.92505918269549,40.82921147450688
247,248,West Farms/Bronx River,-73.8710104534109,40.834677199929715
248,249,West Village,-74.00249690862721,40.73461155598208
249,250,Westchester Village/Unionport,-73.84947867538966,40.832490688631886
250,251,Westerleigh,-74.12323684099184,40.61960551615152
251,252,Whitestone,-73.81539429860646,40.78836064801891
252,253,Willets Point,-73.84147454859088,40.760086336845596
253,254,Williamsbridge/Olinville,-73.85826965181708,40.88322332930062
254,255,Williamsburg (North Side),-73.95713377569,40.718834192231235
255,256,Williamsburg (South Side),-73.95910788386416,40.71097712969062
256,257,Windsor Terrace,-73.97723931118517,40.65366449521194
257,258,Woodhaven,-73.85663905307199,40.69012636781354
258,259,Woodlawn/Wakefield,-73.85635111728705,40.899102773198024
259,260,Woodside,-73.90371327894319,40.74679779446832
260,261,World Trade Center,-74.01291937551196,40.708975618893696
261,262,Yorkville East,-73.94582981800806,40.776534228993924
262,263,Yorkville West,-73.95120799165345,40.77849586877834
